IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",11,"1960",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20349744
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",12,"1961",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20680653
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",13,"1962",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21020360
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",14,"1963",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21364017
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",15,"1964",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21708487
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",16,"1965",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22053661
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",17,"1966",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22403116
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",18,"1967",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22757014
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",19,"1968",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",23112971
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",20,"1969",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",23472028
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",21,"1970",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",23842803
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",22,"1971",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",24223379
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",23,"1972",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",24612794
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",24,"1973",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25020588
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",25,"1974",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25449755
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",26,"1975",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",25875559
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",27,"1976",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26290257
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",28,"1977",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",26713780
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",29,"1978",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",27146121
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",30,"1979",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",27584134
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",31,"1980",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",28024803
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",32,"1981",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",28471285
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",33,"1982",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",28922762
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",34,"1983",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",29377137
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",35,"1984",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",29832197
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",36,"1985",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",30287112
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",37,"1986",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",30748327
